,work,Year,Publication_type,Cell-classes,Cell-types,How_many_classes/types_of_neurons?,What_type_of_classification_problems?,Region,Subregion,Species,What_is_the_data_source?,What_data_representation_is_being_used?,What_features_are_extracted?,What_classification_methods_are_being_used?,Types_of_ANN,What_neuroscience_tools_and_technologies_are_being_used?,Is_the_source_code_available?,What_programming_language_are_being_used?,What_evaluation_measures_are_being_used?,Other_relevant_aspects
10,"mata,g.,radojevic,m.,fernandez-lozano,c.,smal,i.,werij,n.,morales,m.,meijering,e.,&_rubio,j._(2019)._automated_neuron_detection_in_high-content_fluorescence_microscopy_images_using_machine_learning._neuroinformatics,17(2),253269._https://doi.org/10.1007/s12021-018-9399-4",2019,journal,pyramidal,only_classes,1_class,binary,hippocampus,hippocampus,rat,own_dataset,image-based,morphometrics_features,"svm,knn,random_forest,logistic_regression",does_not_use_ann,not_used,no_,not_described,"cross-validation,auc",pattern_recognition_tasks
11,"peach,r._l.,arnaudon,a.,schmidt,j._a.,palasciano,h._a.,bernier,n._r.,jelfs,k._e.,yaliraki,s._n.,&_barahona,m._(2021)._hcga:_highly_comparative_graph_analysis_for_network_phenotyping._patterns,2(4),100227._https://doi.org/10.1016/j.patter.2021.100227",2021,journal,"pyramidal,interneuron",only_classes,2_classes,multi-class,somatosensory,cortex_somatosensory,rat,blue_brain_project,graph-based,morphometrics_features,not_described,does_not_use_ann,hcga,yes._github_,python,accuracy,nan
12,"stojic,d.,radosevic,d.,rajkovic,n.,maric,d._l.,&_milosevic,n._t._(2021)._classification_by_morphology_of_multipolar_neurons_of_the_human_principal_olivary_nucleus._neuroscience_research,170(xxxx),6675._https://doi.org/10.1016/j.neures.2020.10.005",2021,journal,interneuron,not_described,"1_classe,3_types",multi-class,principal_olivary_nucleus,principal_olivary_nucleus,human,own_dataset,image-based,morphometrics_features,k-means,does_not_use_ann,not_used,no,not_described,silhouette,nan
13,"troullinou,e.,tsagkatakis,g.,chavlis,s.,turi,g._f.,li,w.,losonczy,a.,tsakalides,p.,&_poirazi,p._(2021)._artificial_neural_networks_in_action_for_an_automated_cell-type_classification_of_biological_neural_networks._ieee_transactions_on_emerging_topics_in_computational_intelligence,5(5),755767._https://doi.org/10.1109/tetci.2020.3028581",2021,journal,"pyramidal,interneuron",only_classes,2_classes,multi-class,hippocampus,hippocampus,mouse,own_dataset,image-based,electrophysiological_features,"svm,neural_networks","recurrent_neural_network,long_short-term_memory,convolutional_neural_network",not_used,no,python,"accuracy,confusion_matrix",nan
14,"khalil_r,kallel_s,farhat_a,dlotko_p_(2022)_topological_sholl_descriptors_for_neuronal_clustering_and_classification._plos_comput_biol_18(6):_e1010229._https://doi.org/10.1371/journal.pcbi.1010229",2022,journal,"ganglion,pyramidal,medium_spiny,martinotti,interneuron,purkinje,granule",only_classes,7_classes,multi-class,"hippocampus,retina,spinal_cord,somatosensory,motor","hippocampus,cortex_somatosensory,cortex_motor,cortex_prefrontal,retina,spinal_cord,cortex_cerebellar","human,mouse,rat",neuromorpho,graph-based,"topological_features,morphometrics_features","knn,lmnn",does_not_use_ann,"tmd,l-measure,sholl_analysis",yes._github_,matlab,"accuracy,cross-validation",nan
15,"barros_mt,siljak_h,mullen_p,papadias_c,hyttinen_j,marchetti_n._objective_supervised_machine_learning-based_classification_and_inference_of_biological_neuronal_networks._molecules._(2022);_27(19):6256._https://doi.org/10.3390/molecules27196256",2022,journal,not_described,not_described,not_described,not_described,somatosensory,cortex_somatosensory,rat,blue_brain_project,based_on_spike_train,"topological_features,morphometrics_features,electrophysiological_features","svm,decision_tree,random_forest,neural_networks",not_described,"neuron,netgen",no,matlab,"accuracy,confusion_matrix,auc,recall,precision,f1-score",nan
16,"yang,b.,huang,j.,wu,g._et_al._classifying_the_tracing_difficulty_of_3d_neuron_image_blocks_based_on_deep_learning._brain_inf._8,25_(2021)._https://doi.org/10.1186/s40708-021-00146-0",2021,journal,not_described,not_described,not_described,not_described,not_described,not_described,mouse,allen_cell_types,image-based,morphometrics_features,neural_networks,"resnet,long_short-term_memory,fully_connected_neural_network","l-measure,vaa3d",yes._github_,python,"accuracy,f1-score",nan
17,"j._zhao,x._chen,z._xiong,z._-j._zha_and_f._wu,""graph_representation_learning_for_large-scale_neuronal_morphological_analysis,""_in_ieee_transactions_on_neural_networks_and_learning_systems,2022,doi:_10.1109/tnnls.2022.3204686.",2022,journal,"granule,ganglion,purkinje,pyramidal,medium_spiny",only_classes,5_classes,multi-class,"hippocampus,neocortex,_basal_ganglia,somatosensory,cerebellum","hippocampus,neocortex_frontal,basal_ganglia,neocortex_prefrontal,cortex_somatosensory,cerebellum",not_described,neuromorpho,graph-based,morphometrics_features,svm,does_not_use_ann,"tmd,neurograph,l-measure,neuropath2path",no,not_described,accuracy,nan
18,"j._hiatt,d._howe_and_l._neal,""improving_visual_neuroscience_cell_type_classification_with_supervised_machine_learning,""_2022_systems_and_information_engineering_design_symposium_(sieds),charlottesville,va,usa,2022,pp._116-121,doi:_10.1109/sieds55548.2022.9799330.",2022,conference,not_described,not_described,not_described,not_described,not_described,not_described,drosophila_melanogaster,third_party,based_on_microscopy_films,electrophysiological_features,"random_forest,knn,svm,quadratic_discriminant_analysis,naive_bayes,decision_tree,neural_networks",inceptiontime,caiman,no,not_described,"precision,recall,accuracy",nan
19,"chen,h.,yang,j.,iascone,d.,liu,l.,he,l.,peng,h.,&_yao,j._(2022)._treemoco:_contrastive_neuron_morphology_representation_learning._advances_in_neural_information_processing_systems,35,25060-25073.",2022,conference,"pyramidal,interneuron",only_classes,2_classes,multi-class,not_described,not_described,not_described,"brain_image_library,janelia_mouselight,allen_cell_types",graph-based,morphometrics_features,_neural_networks,long_short-term_memory,"treemoco,morphvae",yes._github_,python,accuracy,nan
